name,size,duration,elapsed
../audio/2024-09-27-13-54-44_small.wav,    1968.79,     10.50,    0.1663
../audio/2024-09-27-13-54-45_large.wav,    1968.79,     10.50,    0.1689
../audio/2024-09-27-13-54-46_small.wav,     375.04,      2.00,   0.09549
../audio/2024-09-27-13-54-47_small.wav,     562.54,      3.00,    0.1387
../audio/2024-09-27-13-54-48_small.wav,     750.04,      4.00,    0.1743
../audio/2024-09-27-13-54-49_small.wav,     937.54,      5.00,    0.1457
../audio/2024-09-27-13-54-50_small.wav,    1125.04,      6.00,    0.1755
../audio/2024-09-27-13-54-51_small.wav,    1312.54,      7.00,    0.1895
../audio/2024-09-27-13-54-57_small.wav,    2343.79,     12.50,    0.2152
../audio/2024-09-27-13-54-58_large.wav,    2343.79,     12.50,    0.2165
../audio/2024-09-27-13-54-59_small.wav,     375.04,      2.00,    0.1425
../audio/2024-09-27-13-55-00_small.wav,     562.54,      3.00,    0.1596
../audio/2024-09-27-13-55-01_small.wav,     750.04,      4.00,    0.1502
../audio/2024-09-27-13-55-02_small.wav,     937.54,      5.00,    0.1778
../audio/2024-09-27-13-55-03_small.wav,    1125.04,      6.00,    0.1906
../audio/2024-09-27-13-55-04_small.wav,    1312.54,      7.00,    0.1743
