name,size,duration,elapsed
../audio/2024-09-27-12-40-40_small.wav,     562.54,      3.00,      0.16
../audio/2024-09-27-12-40-41_small.wav,     750.04,      4.00,     0.171
../audio/2024-09-27-12-40-42_small.wav,     937.54,      5.00,    0.1801
../audio/2024-09-27-12-40-43_small.wav,    1125.04,      6.00,    0.1706
../audio/2024-09-27-12-40-44_small.wav,    1312.54,      7.00,      0.17
../audio/2024-09-27-12-40-45_small.wav,    1500.04,      8.00,    0.1729
../audio/2024-09-27-12-40-46_small.wav,    1687.54,      9.00,    0.1709
../audio/2024-09-27-12-40-47_small.wav,    1875.04,     10.00,    0.1651
../audio/2024-09-27-12-40-48_large.wav,    1875.04,     10.00,    0.1767
../audio/2024-09-27-12-40-49_small.wav,     281.29,      1.50,    0.2556
../audio/2024-09-27-12-40-50_small.wav,     468.79,      2.50,    0.1673
../audio/2024-09-27-12-40-51_small.wav,     656.29,      3.50,    0.1688
../audio/2024-09-27-12-40-52_small.wav,     843.79,      4.50,    0.3553
../audio/2024-09-27-12-40-53_small.wav,    1031.29,      5.50,    0.3351
../audio/2024-09-27-12-40-54_small.wav,    1218.79,      6.50,    0.3435
../audio/2024-09-27-12-40-55_small.wav,    1406.29,      7.50,    0.3551
../audio/2024-09-27-12-40-56_small.wav,    1593.79,      8.50,    0.3394
../audio/2024-09-27-12-40-57_small.wav,    1781.29,      9.50,    0.3503
../audio/2024-09-27-12-40-58_small.wav,    1968.79,     10.50,    0.3649
../audio/2024-09-27-12-40-59_large.wav,    1968.79,     10.50,    0.3398
../audio/2024-09-27-12-41-00_small.wav,     375.04,      2.00,     0.375
../audio/2024-09-27-12-41-01_small.wav,     562.54,      3.00,    0.4432
../audio/2024-09-27-12-41-02_small.wav,     750.04,      4.00,    0.4345
../audio/2024-09-27-12-41-03_small.wav,     937.54,      5.00,    0.4097
../audio/2024-09-27-12-41-04_small.wav,    1125.04,      6.00,    0.4206
../audio/2024-09-27-12-41-05_small.wav,    1312.54,      7.00,    0.4403
../audio/2024-09-27-12-41-06_small.wav,    1500.04,      8.00,    0.4325
../audio/2024-09-27-12-41-07_small.wav,    1687.54,      9.00,    0.5034
../audio/2024-09-27-12-41-08_large.wav,    1875.04,     10.00,    0.4592
../audio/2024-09-27-12-41-08_small.wav,    1875.04,     10.00,      0.49
../audio/2024-09-27-12-41-10_small.wav,     375.04,      2.00,    0.1652
../audio/2024-09-27-12-41-11_small.wav,     562.54,      3.00,     0.169
../audio/2024-09-27-12-41-12_small.wav,     750.04,      4.00,     0.341
../audio/2024-09-27-12-41-13_small.wav,     937.54,      5.00,     0.353
../audio/2024-09-27-12-41-14_small.wav,    1125.04,      6.00,    0.3449
../audio/2024-09-27-12-41-15_small.wav,    1312.54,      7.00,     0.325
../audio/2024-09-27-12-41-16_small.wav,    1500.04,      8.00,    0.3596
../audio/2024-09-27-12-41-17_small.wav,    1687.54,      9.00,    0.4156
