name,duration,elapsed
../audio/2024-09-27-12-40-53_small.wav,       5.50,    0.0335
../audio/2024-09-27-12-40-54_small.wav,       6.50,   0.03397
../audio/2024-09-27-12-40-55_small.wav,       7.50,    0.0327
../audio/2024-09-27-12-40-56_small.wav,       8.50,   0.03195
../audio/2024-09-27-12-40-57_small.wav,       9.50,   0.02515
../audio/2024-09-27-12-40-58_small.wav,      10.50,   0.06171
../audio/2024-09-27-12-40-59_large.wav,      10.50,   0.06699
../audio/2024-09-27-12-41-00_small.wav,       2.00,   0.03155
../audio/2024-09-27-12-41-01_small.wav,       3.00,   0.03332
../audio/2024-09-27-12-41-02_small.wav,       4.00,   0.03354
../audio/2024-09-27-12-41-03_small.wav,       5.00,   0.02994
../audio/2024-09-27-12-41-04_small.wav,       6.00,   0.03116
../audio/2024-09-27-12-41-05_small.wav,       7.00,   0.02855
../audio/2024-09-27-12-41-06_small.wav,       8.00,   0.03365
../audio/2024-09-27-12-41-07_small.wav,       9.00,   0.03713
../audio/2024-09-27-12-41-08_large.wav,      10.00,   0.03462
../audio/2024-09-27-12-41-08_small.wav,      10.00,   0.03342
../audio/2024-09-27-12-41-10_small.wav,       2.00,   0.01801
../audio/2024-09-27-12-41-11_small.wav,       3.00,   0.01555
../audio/2024-09-27-12-41-12_small.wav,       4.00,   0.02956
../audio/2024-09-27-12-41-13_small.wav,       5.00,   0.02944
../audio/2024-09-27-12-41-14_small.wav,       6.00,   0.03508
../audio/2024-09-27-12-41-15_small.wav,       7.00,   0.02501
../audio/2024-09-27-12-41-16_small.wav,       8.00,   0.02819
../audio/2024-09-27-12-41-17_small.wav,       9.00,   0.03332
../audio/2024-09-27-12-41-18_small.wav,      10.00,   0.03693
../audio/2024-09-27-12-41-19_large.wav,      10.00,   0.04069
../audio/2024-09-27-12-41-20_small.wav,       2.00,   0.02986
../audio/2024-09-27-12-41-21_small.wav,       3.00,   0.03055
../audio/2024-09-27-12-41-22_small.wav,       4.00,   0.03051
../audio/2024-09-27-12-41-23_small.wav,       5.00,   0.03768
../audio/2024-09-27-12-41-24_small.wav,       6.00,   0.02734
../audio/2024-09-27-12-41-25_small.wav,       7.00,   0.03223
../audio/2024-09-27-12-41-26_small.wav,       8.00,   0.03308
../audio/2024-09-27-12-41-27_small.wav,       9.00,   0.03492
../audio/2024-09-27-12-41-28_large.wav,      10.00,   0.04187
../audio/2024-09-27-12-41-28_small.wav,      10.00,   0.04066
../audio/2024-09-27-12-41-30_small.wav,       2.00,   0.01784
../audio/2024-09-27-12-41-31_small.wav,       3.00,   0.03028
../audio/2024-09-27-12-41-32_small.wav,       4.00,   0.03027
../audio/2024-09-27-13-01-40_small.wav,       0.50,   0.03234
../audio/2024-09-27-13-01-43_small.wav,       3.00,   0.03003
../audio/2024-09-27-13-01-45_small.wav,       5.00,   0.03192
../audio/2024-09-27-13-01-46_small.wav,       6.00,   0.02848
../audio/2024-09-27-13-01-47_small.wav,       7.50,    0.0319
../audio/2024-09-27-13-01-48_small.wav,       8.50,   0.03397
../audio/2024-09-27-13-01-49_small.wav,       9.50,   0.03032
../audio/2024-09-27-13-01-50_small.wav,      10.50,   0.06036
../audio/2024-09-27-13-01-51_large.wav,      10.50,   0.07143
